"routes3.shipmentorigindesc";"routes3.Latitude.x";"routes3.Longitude.x";"routes3.shipmentdestinationdesc";"routes3.Latitude.y";"routes3.Longitude.y"
"2189";"Cramlington UK";55.086136;-1.5808;"Brazil";-15.78333333;-47.916667
"2192";"Las Piedras";-34.85;-56.166667;"Brazil";-15.78333333;-47.916667
"2195";"MSD Spain";40.463667;-3.74922;"Brazil";-15.78333333;-47.916667
"2198";"MEXICO - MSD Xochimilco";19.43333333;-99.133333;"Brazil";-15.78333333;-47.916667
"2209";"West Point - Bldg 56";40.209052;-75.296471;"Brazil";-15.78333333;-47.916667
"2213";"MSD Singapore South";1.283333333;103.85;"Brazil";-15.78333333;-47.916667
"2219";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Brazil";-15.78333333;-47.916667
"2220";"Ballydine IRL";53.31666667;-6.233333;"Brazil";-15.78333333;-47.916667
"2224";"Wilson NC";35.721269;-77.91554;"Brazil";-15.78333333;-47.916667
"2229";"MSD Campinas Brazil";-22.909938;-47.062633;"Brazil";-15.78333333;-47.916667
"2257";"Mirabel France";44.144405;1.419822;"Brazil";-15.78333333;-47.916667
"2265";"NETHERLANDS - (Movianto) Oss";51.76118;5.514048;"Brazil";-15.78333333;-47.916667
"2303";"Huahai Pharma. China";39.91666667;116.383333;"Brazil";-15.78333333;-47.916667
"2362";"West Point - Bldg 56";40.209052;-75.296471;"BRAZIL - (Butantan Inst) Sao Paulo ";-15.78333333;-47.916667
"2363";"IRELAND - MSD Swords";53.31666667;-6.233333;"BRAZIL - (Butantan Inst) Sao Paulo ";-15.78333333;-47.916667
"2365";"MSD Haarlem";52.387388;4.646219;"BRAZIL - (Butantan Inst) Sao Paulo ";-15.78333333;-47.916667
"2368";"IRELAND - MSD Swords";53.31666667;-6.233333;"BRAZIL - (UPS) Goias";-15.78333333;-47.916667
"2369";"West Point - Bldg 56";40.209052;-75.296471;"BRAZIL - (UPS) Goias";-15.78333333;-47.916667
"2370";"MSD Campinas Brazil";-22.909938;-47.062633;"BRAZIL - (UPS) Goias";-15.78333333;-47.916667
"2372";"Wilson NC";35.721269;-77.91554;"BRAZIL - (UPS) Goias";-15.78333333;-47.916667
"2377";"Mirabel France";44.144405;1.419822;"BRAZIL - (UPS) Goias";-15.78333333;-47.916667
"2383";"BRAZIL - MSD Brazil Goias";-15.78333333;-47.916667;"BRAZIL - MSD Campinas";-15.78333333;-47.916667
"2384";"Wilson NC";35.721269;-77.91554;"BRAZIL - MSD Campinas";-15.78333333;-47.916667
"2386";"Las Piedras";-34.85;-56.166667;"BRAZIL - MSD Campinas";-15.78333333;-47.916667
"2387";"Cramlington UK";55.086136;-1.5808;"BRAZIL - MSD Campinas";-15.78333333;-47.916667
"2389";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"BRAZIL - MSD Campinas";-15.78333333;-47.916667
"2397";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"BRAZIL - MSD Sao Paulo";-15.78333333;-47.916667
"2399";"NETHERLANDS - (Aspen Pharma) Oss";52.35;4.916667;"BRAZIL - MSD Sao Paulo";-15.78333333;-47.916667
"2402";"Wilson NC";35.721269;-77.91554;"BRAZIL - MSD Sao Paulo";-15.78333333;-47.916667
"2405";"MSD Singapore South";1.283333333;103.85;"BRAZIL - MSD Sao Paulo";-15.78333333;-47.916667
"2417";"CANADA - (LSU) Quebec";47.721403;-85.77933;"British Columbia BC";53.726668;-127.647621
"2437";"IRELAND - MSD Swords";53.31666667;-6.233333;"Buenos Ares";-34.58333333;-58.666667
"2438";"Wilson NC";35.721269;-77.91554;"Buenos Ares";-34.58333333;-58.666667
"2440";"MSD Haarlem";52.387388;4.646219;"Buenos Ares";-34.58333333;-58.666667
"2443";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Buenos Ares";-34.58333333;-58.666667
"2447";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Buenos Ares";-34.58333333;-58.666667
"2448";"Mirabel France";44.144405;1.419822;"Buenos Ares";-34.58333333;-58.666667
"2489";"West Point - Bldg 56";40.209052;-75.296471;"Buenos Ares";-34.58333333;-58.666667
"2533";"NETHERLANDS - (Aspen Pharma) Oss";52.35;4.916667;"Buenos Ares";-34.58333333;-58.666667
"2539";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Bulgaria";42.733883;25.48583
"2547";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Burkina Faso";12.36666667;-1.516667
"2549";"Reno OFC";39.529633;-119.813803;"California CA";36.116203;-119.681564
"2550";"NETHERLANDS - MSD Oss";51.76118;5.514048;"California CA";36.116203;-119.681564
"2551";"USA - GA Suwanee OFC";34.05149;-84.0713;"California CA";36.116203;-119.681564
"2582";"West Point - Bldg 56";40.209052;-75.296471;"California CA";36.116203;-119.681564
"2604";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Cambodia";11.55;104.916667
"2605";"MSD Haarlem";52.387388;4.646219;"Cambodia";11.55;104.916667
"2606";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Cambodia";11.55;104.916667
"2609";"NETHERLANDS - (Movianto) Oss";51.76118;5.514048;"Cambodia";11.55;104.916667
"2620";"MSD Haarlem";52.387388;4.646219;"CAMBODIA  (Institut Pasteur) Phnom Penh";11.55;104.916667
"2621";"CANADA - (LSU) Quebec";47.721403;-85.77933;"Canada";56.130366;-106.346771
"2624";"Cramlington UK";55.086136;-1.5808;"Canada";56.130366;-106.346771
"2625";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Canada";56.130366;-106.346771
"2633";"MSD Spain";40.463667;-3.74922;"Canada";56.130366;-106.346771
"2634";"MSD Haarlem";52.387388;4.646219;"Canada";56.130366;-106.346771
"2635";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Canada";56.130366;-106.346771
